Line,Location
FD004,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:44,21",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
F_LIFT_2,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:4,90",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FD001,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:42,14",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA002,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:31,98",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA001,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:18,57",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA019,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:15,51",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA015,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:13,98",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA012,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:9,98",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA014,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:1,61",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA005,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:26,34",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA020,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:10,06",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA013,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:13,27",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA007,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:9,84",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA003,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:358,76",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA011,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:8,93",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA011A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:2,73",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA011B,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:2,63",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA007A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:2,76",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA007B,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:2,64",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA012A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
"Gross:11,45",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
FA010,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\-01\floor.txt
